OBJECTID,FEATURE_ID,FROM_MH,LENGTH_FT,DIAMETER,MATERIAL,SLOPE,CFCC,STORMWATER,LANDUSE,PCI,KNOWN_ISSUES,PACP,UPSOURCE,AGE,FLOW_TO,RISE,Shape,GDB_GEOMATTR_DATA,UPSTREAM_CNT,SL_Class,Q_inf,Q,D_LEFT_TARGET,Dn,N_Full,Sed_Vol,DIRECT_CNT,FlushPerYear,VEG_SCORE,Sed_PerYr,MH_ANGLE,V
1,431112003,430711120605.00000000,240.00000000,8,PVC,0.00547483,LOCAL,NULL,NULL,84,LOW,NULL,NULL,19,430711120604.00000000,1.31396000,0x5F0D000001040500000030FE363A1A744141B0B0E0B20A4B6C4180DBCCE414744141FCEBA8B10A4B6C41005EB2AEDE734141745C60A50A4B6C41884A5C97C573414130555C9F0A4B6C41A01DF0AEA1734141B8E4F8960A4B6C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.04547048,8.01200000,0.01200000,29.27613900,4,NULL,1,0.07831833,NULL,0.76827010
2,431111007,430711074006.00000000,339.00000000,8,PVC,0.01457334,LOCAL,NULL,NULL,88,LOW,NULL,NULL,23,430711110507.00000000,4.94036100,0x5F0D00000104060000008829A417116F414188BA2F28304A6C41588932A4116F4141000E6789334A6C4138C5E3CC126F414184FAA9B43A4A6C4118A7216C176F4141B4445436574A6C415853A598176F4141C4FF434E584A6C41B8D441FC176F414128B2EFB25A4A6C4101000000010000000001000000FFFFFFFF0000000002,NULL,2,2,NULL,0.01002607,0.05573974,8.01200000,0.01200000,29.27613900,4,NULL,0,0.02524801,NULL,1.53653867
3,431107001,430711074002.00000000,350.00000000,8,PVC,0.01997070,LOCAL,NULL,NULL,84,LOW,NULL,NULL,23,430711074001.00000000,6.98974609,0x5F0D000001040500000088E19014C86F414170B416840D4A6C41E0721B6BDB6F4141407E3C8A164A6C41A88C256309704141A0D778FC2B4A6C41405342670F704141544433CB2E4A6C4178B77E661F704141C0E52A42364A6C4101000000010000000001000000FFFFFFFF0000000002,NULL,3,2,NULL,0.01503911,0.07142319,8.01200000,0.01200000,21.95710425,3,NULL,0,0.01834088,NULL,2.30480877
4,262210050,260722100137.00000000,116.00000000,8,PVC,0.02237016,LOCAL,NULL,NULL,84,LOW,NULL,NULL,16,260722100136.00000000,2.59493800,0x5F0D000001040300000000451E17C60E414194D357216E776C41F028CE1EC20E41415CE988DC6D776C4148A4B97B8C0E41415051D5336A776C4101000000010000000001000000FFFFFFFF0000000002,NULL,10,2,NULL,0.05013037,0.22494694,8.01200000,0.01200000,7.31903475,1,NULL,9,0.01844627,NULL,2.75945117
5,262210046,260722100132.00000000,262.00000000,8,PVC,0.00517316,LOCAL,NULL,NULL,78,LOW,NULL,NULL,16,260722100133.00000000,1.35536900,0x5F0D0000010408000000486804C3610D41412C833D3AA2776C4170185F6C760D4141DC9197F19C776C4108AF70A57A0D4141382C53E39B776C411807AA22830D4141380748C499776C41B8FB9C41850D4141104A8B3C99776C4180DED43FA80D414194F24D7D90776C41E073F3B9AA0D414148FDC8DE8F776C41903C23A3BE0D4141CC3E68A78A776C4101000000010000000001000000FFFFFFFF0000000002,NULL,4,2,NULL,0.02005215,0.18710988,8.01200000,0.01200000,43.91420850,6,NULL,0,0.10761298,90,1.10378058
6,262210015,260722100110.00000000,328.00000000,8,PVC,0.00664774,LOCAL,NULL,NULL,87,LOW,NULL,NULL,17,260722100111.00000000,2.18045800,0x5F0D0000010410000000C8208A9D290E414144C375A628776C41488EE1A2190E4141FC0AF2D528776C414047D1690B0E4141B050F14229776C41109A0392FC0D4141246105F929776C41709FE8F8ED0D4141CC7821F32A776C4168D8156AEC0D4141A4415D122B776C41B012192BE30D4141DCFE48DC2B776C4170298D14DA0D41410CD698C12C776C4120A5FFDCCD0D41411C1525292E776C41205F4208C20D41419C432CC22F776C4108C8E3A2B60D4141D03AF08A31776C413048B36FB20D4141E427484432776C4168B0E276AA0D4141FC64FFBF33776C41B87746C8A20D41412C8E835335776C41F82C0849A10D41411440B7A635776C41C07558AB990D4141C45DE36837776C4101000000010000000001000000FFFFFFFF0000000002,NULL,42,2,NULL,0.21054757,1.73311329,8.01200000,0.01200000,65.87131275,9,NULL,0,0.05871317,NULL,1.93375423
7,262206045,260722063708.00000000,250.00000000,8,PVC,0.04360876,LOCAL,NULL,NULL,82,LOW,NULL,NULL,25,260722063704.00000000,10.90219000,0x5F0D00000104120000002020DF2CFA114141FC918230D1766C41703F604DF91141419C696278D0766C41F0269EA1F81141417C999BE7CF766C4130DC5F22F7114141ACF98A94CE766C41C842AD23F6114141B0A9D3A8CD766C4150B5F02FF4114141107297B6CB766C412811610DF3114141D04CF07ACA766C41F0308067F1114141B0F1CC87C8766C41200E7FD1EF11414140D89C67C6766C418831A24DEE11414168E9FD07C4766C41600420F7EC114141E07F1E78C1766C415092AE23EC114141EC0B6E7ABF766C4198F182C8EB1141411CF37A6FBE766C4190E11E61EB114141F42F020BBD766C41F8B3FED0EA1141415C0F3FFDB9766C41486D2EAEEA114141287968BCB6766C41F06EB1CFEA114141C49604F9B4766C41D834EF23EB114141E40DC9F1B2766C4101000000010000000001000000FFFFFFFF0000000002,NULL,45,2,NULL,0.22558669,0.72500389,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,4.53901610
8,262206024,260722063704.00000000,342.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,82,LOW,NULL,NULL,25,260722063703.00000000,NULL,0x5F0D000001041F000000D834EF23EB114141E40DC9F1B2766C41E0550F14EC114141B0C9ADCAB0766C41801DDE60ED11414134FAF14DAE766C41D8079295EE114141CC97CA54AC766C4168FF4FFFEF11414160FD0549AA766C41980D91EAF0114141340AA205A9766C41F0682F8FF21141416C84BE0FA7766C41E0C9602DF51141413088BB34A4766C41D80DEE0EF91141412824CC84A0766C4198066B38FE114141D802F5489C766C41B895AA4D00124141A0D870BD9A766C41E8289A9502124141984E912599766C41F8A2BD9C03124141E43AA66E98766C4100A3CB7304124141106C35DE97766C41B032F96F05124141F8CC053997766C41603C3C9C06124141DC7AA68696766C41704CBCB10812414144B0AA2C95766C4190BE49330B1241415443DBAC93766C41385A7B110C124141AC5FB62B93766C4150324CFF0C12414154708BA792766C4108792AF90D124141B8426B1792766C41F04E8ADE0F12414178E7D60B91766C4150728732111241414CE1475490766C41E8001B371312414118EFE7468F766C4168F43645151241410098AB448E766C4100C4A9EE1512414128CDBFE28D766C41786A089E16124141244CA48B8D766C41B05B97F5171241412CB020E38C766C4180CB89E91812414194B71C6D8C766C41B8D9D8AB1A12414154DC4B978B766C4128A3A44C1E12414128757CEB89766C4101000000010000000001000000FFFFFFFF0000000002,NULL,70,2,NULL,0.35091263,1.27724224,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,3.98425577
9,262206023,260722063703.00000000,365.00000000,8,PVC,0.00220404,LOCAL,NULL,NULL,82,LOW,NULL,NULL,25,260722063702.00000000,0.80447500,0x5F0D000001040700000028A3A44C1E12414128757CEB89766C410096A8EE1E124141705414C689766C41E067A84E201241412C49042689766C41E061260E281241410033450686766C41F810A02C41124141DCA1C7267B766C4190521C0C56124141609839E772766C41F82195F57A1241412C3024CE62766C4101000000010000000001000000FFFFFFFF0000000002,NULL,70,2,NULL,0.35091263,5.01652516,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.60469088
10,262206020,260722063702.00000000,513.00000000,8,PVC,0.00366053,LOCAL,NULL,NULL,84,LOW,NULL,NULL,25,260722063212.00000000,1.87785100,0x5F0D0000010410000000F82195F57A1241412C3024CE62766C4168FFE2AC80124141D89018345F766C41989A5029851241416828AEF25B766C41581A31AF891241419C6032F357766C41384DB25A8D124141648F83BB53766C41D086A2CD8F124141CCE76FE54F766C4100F51F7791124141E05339EF4B766C4198B88E3E92124141B8E8C42848766C4170E4CD2892124141B00006A943766C4110BD7E2691124141F8D176063F766C41101222B89012414118A7A78E3B766C41988431C590124141F43C586937766C41704E7FF1911241413CEE216331766C41B864C2BD92124141D00ADF122F766C414070CE3E98124141C00E3CBA27766C415037BD7B9B124141840A21AB23766C4101000000010000000001000000FFFFFFFF0000000002,NULL,82,2,NULL,0.41106908,4.55991301,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,2.08963575
